DINFLAG,BENZ,BENZ2,BENZ3,BRAND,ALTNO,ALTNO2,COLORCODE,REMARKS,DATE,COST,SELL,QTY,CURRENCY,FCAMOUNT,CONVERSION,LOCATION
,,,,ELRING,009.008,,,,01/02/1992,0.00,8600.00,0,,0.00,0.00,
,,,,ELRING,009.024,,,,02/24/1990,2312.00,3200.00,5,,0.00,0.00,
,,,,ELRING,009.229,,,,12/30/1989,0.00,230.00,5,,0.00,0.00,
,,,,ELRING,009.903,,,,04/26/1991,1885.00,3450.00,0,,0.00,0.00,
,,,,ELRING,012.769,,,,04/26/1991,4745.00,8600.00,0,,0.00,0.00,
,,,,ELRING,085.618,,,,12/30/1989,0.00,1250.00,1,,0.00,0.00,
,,,,ELRING,085.626,,,,12/30/1989,0.00,1250.00,2,,0.00,0.00,
,,,,ELRING,085.774,,,,12/30/1989,0.00,600.00,0,,0.00,0.00,
,,,,ELRING,085.855,,,,04/26/1991,1465.00,2700.00,1,,0.00,0.00,
,,,,ELRING,086.053,,,,04/26/1991,1403.00,2600.00,1,,0.00,0.00,
,,,,ELRING,107.115,,,R,12/30/1989,0.00,790.00,0,,0.00,0.00,
,,,,ELRING,234.940,,,,12/30/1989,0.00,230.00,0,,0.00,0.00,
,,,,ELRING,234.940,,,,01/02/1991,0.00,345.00,0,,0.00,0.00,
,,,,ELRING,276.545,,,,12/30/1989,0.00,740.00,2,,0.00,0.00,
,,,,ELRING,277.355,,,,01/02/1992,0.00,1185.00,0,,0.00,0.00,
,,,,ELRING,279.285,,,,12/31/1989,0.00,780.00,0,,0.00,0.00,
,,,,ELRING,279.285,,,,01/02/1991,0.00,1170.00,0,,0.00,0.00,
,,,,ELRING,286.583,,,,01/02/1992,0.00,1950.00,0,,0.00,0.00,
,,,,ELRING,348.236,,,,12/30/1989,0.00,885.00,0,,0.00,0.00,
,,,,ELRING,348.236,,,,01/02/1992,0.00,1330.00,0,,0.00,0.00,
,115 010 38 21,,,ELRING,348.252,830.976,,,04/26/1991,1063.00,2500.00,2,,0.00,0.00,
,,,,ELRING,352.128,,,,02/24/1990,2618.00,3600.00,5,,0.00,0.00,
,,,,ERNST,35461 5,,,,04/27/1990,110.00,170.00,10,,0.00,0.00,
,,,,ERNST,35463 9,,,,04/27/1990,42.00,65.00,10,,0.00,0.00,
,,,,ERNST,35560 5,,,,04/27/1990,401.00,625.00,4,,0.00,0.00,
,,,,ERNST,36460 7,,,,04/27/1990,112.00,175.00,10,,0.00,0.00,
,,,,ERNST,36461 4,,,,04/27/1990,89.00,140.00,2,,0.00,0.00,
,,,,ERNST,36461 4,,,,01/01/1993,0.00,210.00,0,,0.00,0.00,
,,,,ERNST,36463 8,,,,04/27/1990,213.00,330.00,4,,0.00,0.00,
,,,,ERNST,36463 8,,,,01/02/1992,0.00,495.00,0,,0.00,0.00,
,,,,EZ,70 1690,,,,05/29/1991,2042.00,3700.00,0,,0.00,0.00,
,,,,EZ,70 2880,,,,05/09/1990,5045.00,7680.00,0,,0.00,0.00,
,,,,FEBI,3651,,,,06/22/1993,683.00,1100.00,0,,0.00,0.00,
,,,,FEBI,8722,,,,06/22/1993,666.00,1200.00,0,,0.00,0.00,
,,,,GLYCO,01-3040/4 (.25),,,,08/26/1992,520.00,800.00,0,,0.00,0.00,
,,,,GLYCO,01-3040/4 (.25),,,,10/25/1993,508.00,900.00,0,,0.00,0.00,
,,,,GLYCO,01-3040/4 (.50),,,,10/25/1993,508.00,900.00,0,,0.00,0.00,
,,,,GLYCO,01-3040/4 (.75),,,,02/02/1993,518.00,870.00,0,,0.00,0.00,
,,,,GLYCO,01-3040/4 (STD.),,,,02/02/1993,427.00,650.00,0,,0.00,0.00,
,,,,GLYCO,01-3040/5 (.25),,,,08/26/1992,650.00,990.00,0,,0.00,0.00,
,,,,GLYCO,01-3040/5 (.25),,,,01/01/1993,0.00,990.00,0,,0.00,0.00,
,,,,GLYCO,01-3040/5 (.50),,,,12/31/1989,0.00,510.00,0,,0.00,0.00,
,,,,GLYCO,01-3040/5 (.75),,,,01/02/1992,0.00,915.00,0,,0.00,0.00,
,,,,GLYCO,01-3040/5 (.75),,,,02/02/1993,648.00,970.00,0,,0.00,0.00,
,,,,GLYCO,01-3040/5 (STD.),,,,02/02/1993,533.00,800.00,0,,0.00,0.00,
,,,,GLYCO,01-3452/5 (.25),,,,05/23/1991,694.00,1150.00,0,,0.00,0.00,
,,,,GLYCO,01-3452/5 (.25),,,,01/01/1993,0.00,1150.00,0,,0.00,0.00,
,,,,GLYCO,01-3452/5 (.25),,,,10/25/1993,857.00,1620.00,0,,0.00,0.00,
,,,,GLYCO,01-3452/5 (.50),,,,04/18/1990,457.34,800.00,0,,0.00,0.00,
,,,,GLYCO,01-3452/5 (.50),,,,01/02/1991,0.00,1200.00,0,,0.00,0.00,
,,,,GLYCO,01-3452/5 (.50),,,,01/01/1993,0.00,1200.00,0,,0.00,0.00,
,,,,GLYCO,01-3452/5 (STD.),,,,10/25/1993,829.00,1470.00,0,,0.00,0.00,
,,,,GLYCO,01-3584/4 (.25),,,,02/02/1993,525.00,825.00,0,,0.00,0.00,
,,,,GLYCO,01-3584/4 (STD.),,,,04/18/1990,383.00,550.00,0,,0.00,0.00,
,,,,GLYCO,01-3584/4 (STD.),,,,01/02/1992,0.00,825.00,0,,0.00,0.00,
,,,,GLYCO,01-3584/5 (.25),,,,02/02/1993,656.00,985.00,0,,0.00,0.00,
,,,,GLYCO,01-3584/6 (.25),,,,02/02/1993,787.00,1300.00,0,,0.00,0.00,
,,,,GLYCO,55-2536,,,,04/18/1990,66.46,100.00,0,,0.00,0.00,
,,,,GLYCO,55-2538,,,,04/18/1990,68.00,100.00,0,,0.00,0.00,
,,,,GLYCO,55-2538,,,,01/02/1991,0.00,150.00,0,,0.00,0.00,
,,,,GLYCO,55-2862,,,,04/18/1990,55.03,77.00,6,,0.00,0.00,
,,,,GLYCO,55-2862,,,,01/01/1993,0.00,115.50,6,,0.00,0.00,
,,,,GLYCO,71-1459/4 (.25),,,,08/26/1992,568.00,870.00,1,,0.00,0.00,
,,,,GLYCO,71-1459/4 (.50),,,,01/02/1992,0.00,765.00,0,,0.00,0.00,
,,,,GLYCO,71-1459/4 (.75),,,,01/02/1992,0.00,900.00,0,,0.00,0.00,
,,,,GLYCO,71-1459/4 (.75),,,,08/26/1992,651.00,990.00,1,,0.00,0.00,
,,,,GLYCO,71-1459/4 (1.00),,,,01/02/1991,0.00,900.00,0,,0.00,0.00,
,,,,GLYCO,71-1459/4 (STD.),,,,12/31/1989,0.00,480.00,0,,0.00,0.00,
,,,,GLYCO,71-2214/6 (.50),,,,12/31/1989,0.00,610.00,0,,0.00,0.00,
,,,,GLYCO,71-2234/6 (.25),,,,04/18/1990,845.00,1200.00,0,,0.00,0.00,
,,,,GLYCO,71-2234/6 (.25),,,,01/01/1993,0.00,1800.00,0,,0.00,0.00,
,,,,GLYCO,71-2234/6 (.50),,,,04/18/1990,845.00,1200.00,6,,0.00,0.00,
,,,,GLYCO,71-2234/6 (.75),,,,04/18/1990,1016.16,1450.00,1,,0.00,0.00,
,,,,GLYCO,71-2234/6 (1.00),,,,04/18/1990,1016.16,1450.00,1,,0.00,0.00,
,,,,GLYCO,71-2234/6 (STD.),,,,04/18/1990,819.00,1150.00,3,,0.00,0.00,
,,,,GLYCO,71-2404/6 (.25),,,,12/31/1989,0.00,810.00,0,,0.00,0.00,
,,,,GLYCO,71-2404/6 (.50),,,,12/31/1989,0.00,810.00,0,,0.00,0.00,
,,,,GLYCO,71-2404/6 (.75),,,,12/31/1989,0.00,970.00,3,,0.00,0.00,
,,,,GLYCO,71-2404/6 (.75),,,,01/02/1991,0.00,1455.00,1,,0.00,0.00,
,,,,GLYCO,71-2404/6 (1.00),,,,12/31/1989,0.00,970.00,1,,0.00,0.00,
,,,,GLYCO,71-2404/6 (STD.),,,,12/31/1989,0.00,790.00,1,,0.00,0.00,
,,,,GLYCO,71-2549/6 (.25),,,,01/02/1992,0.00,2250.00,0,,0.00,0.00,
,,,,GLYCO,71-2549/6 (.50),,,,04/18/1990,1059.00,1500.00,3,,0.00,0.00,
,,,,GLYCO,71-2549/6 (.75),,,,04/18/1990,1230.54,1750.00,2,,0.00,0.00,
,,,,GLYCO,71-2549/6 (1.00),,,,04/18/1990,1230.54,1750.00,0,,0.00,0.00,
,,,,GLYCO,71-2549/6 (1.00),,,,01/02/1992,0.00,2625.00,0,,0.00,0.00,
,,,,GLYCO,71-2549/6 (STD.),,,,04/18/1990,1033.31,1450.00,1,,0.00,0.00,
,,,,GLYCO,71-2752/6 (.25),,,,12/31/1989,0.00,780.00,6,,0.00,0.00,
,,,,GLYCO,71-2752/6 (.50),,,,10/25/1993,995.00,1760.00,6,,0.00,0.00,
,,,,GLYCO,71-2752/6 (.75),,,,08/26/1992,1141.00,1750.00,1,,0.00,0.00,
,,,,GLYCO,71-2752/6 (.75),,,,01/01/1993,0.00,1750.00,1,,0.00,0.00,
,,,,GLYCO,71-2752/6 (1.00),,,,01/01/1993,0.00,1290.00,1,,0.00,0.00,
,,,,GLYCO,71-2752/6 (STD.),,,,12/31/1989,0.00,760.00,0,,0.00,0.00,
,,,,GLYCO,71-2773/4 (.25),,,,02/02/1993,494.00,750.00,0,,0.00,0.00,
,,,,GLYCO,71-2773/4 (.25),,,,10/25/1993,564.00,995.00,0,,0.00,0.00,
,,,,GLYCO,71-2773/4 (.50),,,,08/26/1992,546.00,880.00,0,,0.00,0.00,
,,,,GLYCO,71-2773/4 (.50),,,,10/25/1993,564.00,995.00,1,,0.00,0.00,
,,,,GLYCO,71-2773/4 (.75),,,,08/26/1992,658.00,1000.00,0,,0.00,0.00,
,,,,GLYCO,71-2773/4 (1.00),,,,05/23/1991,520.00,840.00,0,,0.00,0.00,
,,,,GLYCO,71-2773/4 (1.00),,,,01/01/1993,0.00,840.00,0,,0.00,0.00,
,,,,GLYCO,71-2773/4 (STD.),,,,12/31/1989,0.00,470.00,0,,0.00,0.00,
,,,,GLYCO,71-2773/4 (STD.),,,,01/02/1991,0.00,705.00,0,,0.00,0.00,
,,,,GLYCO,71-2974/6 (.25),,,,02/02/1993,782.00,1180.00,0,,0.00,0.00,
,,,,GLYCO,71-2974/6 (.50),,,,12/31/1989,0.00,650.00,2,,0.00,0.00,
,,,,GLYCO,71-2995/4 (.25),,,,08/26/1992,678.00,1000.00,0,,0.00,0.00,
,,,,GLYCO,71-2995/4 (.25),,,,01/01/1993,0.00,1000.00,0,,0.00,0.00,
,,,,GLYCO,71-2995/4 (.50),,,,12/31/1989,0.00,525.00,0,,0.00,0.00,
,,,,GLYCO,71-2995/4 (.50),,,,04/18/1990,440.19,620.00,0,,0.00,0.00,
,,,,GLYCO,71-2995/6 (.25),,,,08/26/1992,1017.00,1550.00,0,,0.00,0.00,
,,,,GLYCO,71-2995/6 (.50),,,,12/31/1989,0.00,790.00,0,,0.00,0.00,
,,,,GLYCO,71-2995/6 (.75),,,,12/31/1989,0.00,860.00,1,,0.00,0.00,
,,,,GLYCO,71-3227/4 (.25),,,,08/26/1992,607.00,925.00,0,,0.00,0.00,
,,,,GLYCO,71-3227/4 (.50),,,,04/18/1990,397.32,560.00,0,,0.00,0.00,
,,,,GLYCO,71-3227/4 (.75),,,,01/01/1993,0.00,795.00,1,,0.00,0.00,
,,,,GLYCO,71-3476/8 (.25),,,,05/23/1991,1156.00,1850.00,0,,0.00,0.00,
,,,,GLYCO,71-3476/8 (.50),,,,05/23/1991,1156.00,1850.00,1,,0.00,0.00,
,,,,GLYCO,71-3476/8 (STD.),,,,10/25/1993,1379.00,2435.00,1,,0.00,0.00,
,,,,GLYCO,71-3561/6 (.25),,,,04/18/1990,810.35,1150.00,1,,0.00,0.00,
,,,,GLYCO,71-3572/6 (.25),,,,08/26/1992,1508.00,2300.00,4,,0.00,0.00,
,,,,GLYCO,71-3572/6 (.50),,,,04/18/1990,982.00,1400.00,7,,0.00,0.00,
,,,,GLYCO,71-3572/6 (.75),,,,08/26/1992,1765.00,2700.00,5,,0.00,0.00,
,,,,GLYCO,71-3572/6 (STD.),,,,08/26/1992,1472.00,2250.00,0,,0.00,0.00,
,,,,GLYCO,71-3605/4 (.25),,,,08/26/1992,678.00,1050.00,0,,0.00,0.00,
,,,,GLYCO,71-3605/4 (.50),,,,05/23/1991,536.00,900.00,0,,0.00,0.00,
,,,,GLYCO,71-3605/4 (.50),,,,08/26/1992,678.00,1050.00,0,,0.00,0.00,
,,,,GLYCO,71-3605/4 (STD.),,,,08/26/1992,654.00,1000.00,0,,0.00,0.00,
,,,,GLYCO,71-3605/4 (STD.),,,,02/02/1993,562.00,950.00,0,,0.00,0.00,
,,,,GLYCO,71-3605/6 (.25),,,,05/23/1991,804.00,1350.00,0,,0.00,0.00,
,,,,GLYCO,71-3605/6 (.25),,,,01/01/1993,0.00,1350.00,0,,0.00,0.00,
,,,,GLYCO,71-3605/6 (STD.),,,,08/26/1992,982.00,1500.00,0,,0.00,0.00,
,,,,GLYCO,H 580/3 (.25),,,,12/31/1989,0.00,580.00,6,,0.00,0.00,
,,,,GLYCO,H 580/3 (.75),,,,12/31/1989,0.00,595.00,0,,0.00,0.00,
,,,,GLYCO,H 580/3 (.75),,,,01/02/1991,0.00,900.00,1,,0.00,0.00,
,,,,GLYCO,H 580/3 (1.00),,,,12/31/1989,0.00,595.00,0,,0.00,0.00,
,,,,GLYCO,H 580/3 (STD.),,,,12/31/1989,0.00,570.00,2,,0.00,0.00,
,,,,GLYCO,H 580/5 (.25),,,,12/31/1989,0.00,750.00,10,,0.00,0.00,
,,,,GLYCO,H 580/5 (.50),,,,04/18/1990,653.00,850.00,5,,0.00,0.00,
,,,,GLYCO,H 580/5 (.50),,,,01/02/1992,0.00,1275.00,1,,0.00,0.00,
,,,,GLYCO,H 580/5 (.75),,,,12/31/1989,0.00,840.00,3,,0.00,0.00,
,,,,GLYCO,H 580/5 (1.00),,,,12/31/1989,0.00,840.00,7,,0.00,0.00,
,,,,GLYCO,H 581/4 (.75),,,,12/31/1989,0.00,700.00,1,,0.00,0.00,
,,,,GLYCO,H 641/7 (.25),,,,01/02/1992,0.00,5300.00,0,,0.00,0.00,
,,,,GLYCO,H 641/7 (.50),,,,01/02/1992,0.00,5300.00,0,,0.00,0.00,
,,,,GLYCO,H 641/7 (.75),,,,01/02/1992,0.00,5700.00,1,,0.00,0.00,
,,,,GLYCO,H 641/7 (1.00),,,,01/02/1992,0.00,5700.00,2,,0.00,0.00,
,,,,GLYCO,H 641/7 (STD.),,,,01/02/1992,0.00,5300.00,3,,0.00,0.00,
,,,,GLYCO,H 705/7 (.25),,,,12/31/1989,0.00,1300.00,1,,0.00,0.00,
,,,,GLYCO,H 705/7 (.25),,,,04/18/1990,1109.00,1550.00,0,,0.00,0.00,
,,,,GLYCO,H 705/7 (.50),,,,12/31/1989,0.00,1300.00,2,,0.00,0.00,
,,,,GLYCO,H 705/7 (.75),,,,12/31/1989,0.00,1450.00,1,,0.00,0.00,
,,,,GLYCO,H 705/7 (STD.),,,,12/31/1989,0.00,1250.00,1,,0.00,0.00,
,,,,GLYCO,H 705/7 (STD.),,,,01/02/1992,0.00,1875.00,0,,0.00,0.00,
